CONTROL,KAMG_fl,Blue,Green,Red,RE1,RE2,RE3,NIR,RE4,SWIR1,SWIR2,NDVI,VH,VV,C,predicted
5:65:18,400,0.08879482474607876,0.07026888848580086,0.05816548677614544,0.07558762830565129,0.1277047909431497,0.15027769684005374,0.14752530083965318,0.16933799703345176,0.1454388585675186,0.08322983246268871,0.4304954058720363,-15.508024129135002,-10.361678151400833,97.09223190928252,86.30205334062812
7:244:5,400,0.0846138576836158,0.06852760758198888,0.04418841130033056,0.06831215041230355,0.19912157039659575,0.25564743503214815,0.2375470273902698,0.2800302836293585,0.1215331721756397,0.0483051854795242,0.6837732917347893,-15.946720813944616,-10.85616842057242,106.03761573518838,98.83080622385172
1:180:17,290,0.08996830294025684,0.0745004225302121,0.05908549538616856,0.07963917809650525,0.14668574055449868,0.17206726682945178,0.16450014446438863,0.19169053587224325,0.1288887543072604,0.06580253291090601,0.47323678243952966,-15.373141070701266,-10.640456382425088,88.24104615009917,95.47612953544686
2:410:12,290,0.08867568207042069,0.0712370750183549,0.0482971125735158,0.07285077305472329,0.17674548123321582,0.21634577296625643,0.20660115153389952,0.23799545242560013,0.12714346952239164,0.059705464336208026,0.6184788991794692,-15.608117774343544,-10.689246434497894,74.62045542195473,83.5054035782787
1:110:59,290,0.086986481397322,0.0723046404744028,0.04572668972259485,0.07350403992166106,0.18599092286429672,0.22537487538042253,0.21621020822503492,0.25101953409144634,0.12761534725368515,0.054160757717135265,0.6487195455808642,-14.671252896203162,-9.626716405538344,77.3216002512809,95.47339860329679
1:49:43,290,0.08557716656502842,0.07015590202613953,0.04798969903184247,0.07481592314414659,0.1756640891978379,0.2128608810450505,0.2099912433137891,0.23690298162210846,0.1266667734345499,0.05771125362356265,0.6263584389509228,-14.616889492684844,-9.422905184499431,79.56487155253977,86.85577496535781
2:9:17,290,0.08628939435236944,0.06902630296788217,0.04496936581584607,0.06898914540834995,0.19418974792534413,0.24537662316698916,0.24170592171571237,0.27465077116948466,0.12801765458792186,0.05242393023213016,0.6810442868364701,-15.166645466202251,-9.564228062603913,75.41898788306369,88.53471535382559
2:18:29,290,0.08520756596953537,0.07180891165655219,0.041087318925428384,0.07550864368167172,0.21760390818715597,0.27356963560176467,0.26326446797227243,0.30761341845589607,0.14008506380473856,0.053039832158184905,0.7289673451036072,-15.273286370560372,-9.656573044602332,75.17472971042349,94.90529271456352
3:68:1,290,0.08944073247839275,0.07432749529606195,0.051071983910616514,0.0785060384600661,0.1816933920018207,0.22006446415207076,0.21230947482792675,0.24427275465016435,0.13845994536079184,0.060454294378441284,0.6098715177091074,-15.054962127144458,-9.799719020790155,76.51214507011662,89.95082001535582
3:295:8,290,0.0909405496558829,0.07633255165039787,0.05230442348266708,0.07513218023784597,0.1681131249133158,0.20001008949004892,0.19143936941345682,0.21948217149520285,0.11614844835050146,0.05657306631062657,0.5703330330917261,-14.914373721997071,-10.537163322800925,79.50881906719582,96.99635495512831
6:79:6,290,0.08958605097511779,0.07401062283223028,0.0520178613916069,0.07105550841378742,0.1706665020840172,0.20897635315616025,0.20347171808796163,0.2325532648730941,0.126628277049195,0.056693403393721566,0.5904655120337321,-15.169695944592895,-10.038620727551775,76.5921002107035,88.10902198740571
7:173:19,290,0.09005352953178407,0.07199814186870622,0.04694624367613999,0.06942628356953512,0.17055028562959107,0.21043172295903748,0.20349004078860933,0.23208427162104717,0.11618157838073007,0.04863605634404153,0.6225757574780817,-15.137144637663917,-10.39512445540047,77.95545914284068,101.60988752443663
1:19:9,290,0.0858143664439467,0.0701711196882719,0.045121486041030924,0.07187789897404813,0.16653811335087143,0.20154618875131214,0.19623186780940619,0.2229000167398621,0.1095418465725164,0.04936545868404565,0.6229028616288892,-14.929426756525405,-10.1533851544139,77.14881178400121,94.37119909877336
2:95:3,290,0.08852275004251803,0.07363770344195278,0.04948979210730775,0.07320649676860332,0.17842823761072932,0.22277267268492437,0.21911858022140823,0.24864248437931305,0.12424526915439943,0.0521544576599153,0.6286404821847882,-14.64006730789628,-9.350052708690981,78.83820113852246,93.53844185973216
2:138:44,290,0.08710238801676183,0.07090181010937555,0.045642505616134595,0.07151274479970586,0.18263517531409254,0.22314011680944842,0.21224516194097695,0.2476389652957469,0.11836987637159074,0.049393229605777716,0.6451471889695622,-15.308436636338744,-10.489793916624038,77.99405565368885,96.40152498913689
2:275:9,290,0.0888595136279106,0.07248682022999019,0.04730562170833244,0.07668195800596568,0.18380832069493375,0.22452278102596002,0.21472948977678502,0.24965607032228276,0.1235166197921513,0.0527006644048675,0.6349180135659265,-14.971878606141473,-9.957801644895792,79.80889388396756,96.42240782090481
2:267:12,290,0.08941536429067576,0.07358222883268521,0.04911116399317562,0.07241122542055585,0.17589945337869006,0.21277838502013335,0.20543730920547154,0.23409415129545136,0.1223278741155875,0.0536649834332597,0.6081139304228081,-15.335974924982711,-10.460842435145638,81.23041934769968,97.11351791395981
2:235:14,290,0.0889118384755106,0.07318171637112529,0.05006527875677015,0.07441898650886827,0.1721821316590271,0.2087772057056387,0.2014995733137842,0.23029408733422757,0.11120089796309549,0.05062734815583526,0.6018303289059205,-15.608387102615847,-11.334455857258163,82.01110269885562,93.65100209344396
