ID,TrSP,A,GS,RS,D,H,SI,Stem,Branches,Foliage,Tree_roots,GFF,Understory,Snags,Logs,Coarse_branches,Fine_litter
4:88:17,PISY,25,65,0.5,10,10,1,12.4323535586687,2.10211301226117,1.34125346781837,4.22008704006205,0.395734320342503,0.22897937533353,1.3887157620367,0.55688065571929,0.238543793477154,4.36103499020552
2:272:5,PISY,20,15,0.4,4,3,1,2.76357818766202,0.645476745467142,0.38330112568666,1.06352193366003,0.557021633936126,0.140797105817142,0.696905551706964,0.188073829270098,0.032761528313359,5.09653039002539
2:289:10,PISY,20,60,0.6,10,8,1,11.1538838733882,2.48000976977802,1.71292135894842,3.96798750694694,0.232598407952732,0.128322340326655,1.73846896982483,0.429569981166641,0.237834163360532,5.36596161542449
6:91:13,PISY,40,150,0.6,18,17,0,30.0894718529667,2.80366336390222,1.46944074737711,7.6470580259795,0.332993016995327,0.695630234821914,2.58700216550536,0.905332514639472,0.956080859474275,3.79855494548209
7:162:12,PISY,19,40,0.7,6,6,2,7.4362199095640404,1.74036819556495,1.38041472177885,2.89874609321105,0.161844706186993,0.092179161509256,1.02010762182674,0.281225471983354,0.309609885192191,6.63373445764088
4:122:3,PISY,15,30,0.5,6,5,2,5.32177991174414,1.89521065515919,1.43434032277427,2.39492526422758,0.298967831732825,0.0603397458707799,1.00881775285163,0.282609822269244,0.0402655136496557,6.29223293250288
4:341:8,PISY,20,50,0.6,6,7,1,9.29490322782354,2.06667480814835,1.42743446579035,3.30665625578912,0.232598407952732,0.128322340326655,0.863661300031203,0.340724534931497,0.237834163360532,5.52667779299085
6:235:3,PISY,36,240,0.9,20,17,2,48.6435833485677,4.58833381346928,3.12438106013359,14.9568833167988,0.125917538503647,0.316689382007238,3.58258270522205,0.775007509296204,1.48282452860902,9.47469833007514
4:124:24,PISY,30,170,0.8,16,13,1,33.5853112069317,4.02809944378846,2.62377154352509,10.0219554577697,0.149591766856799,0.270609908868815,2.90316389936614,0.624391080911473,1.1544804059133,7.84232325259951
2:135:23,PISY,25,65,0.55,12,9,1,12.4582241941064,2.07703066441391,1.36588431050583,4.15555718077106,0.321409423231981,0.222723964688015,2.05482364852376,0.513032088498733,0.361242748691128,4.92435191450648
6:228:22,PISY,25,110,0.8,12,9,2,21.3502791387246,3.27492111883133,2.48209328916547,7.43787605816749,0.138030151994751,0.158317297274667,2.38796634414232,0.433915763521762,0.827586833643699,10.2519126131942
2:378:8,PISY,35,90,0.6,16,13,2,18.0501066554104,2.00552914619257,1.41336862837902,5.85714226603864,0.325717878551971,0.398671488675462,2.5868492542342,0.710075136626505,1.09040852843509,5.10757570884068
5:68:7,PISY,40,290,0.9,20,17,2,59.2754164882376,5.01605428646418,3.31346426849308,17.6932251658766,0.132989931368029,0.394448929892388,3.58258270522205,0.775007509296204,1.59929795652694,11.4485938155075
7:205:25,PISY,18,80,1,6,7,1,14.7687359711254,3.17112973953125,2.05652503965139,5.1952502595517,0.063455803145532,0.0664161542014405,1.05999742008802,0.271167112345789,0.154996628719851,8.84268446878536
4:179:25,PISY,25,70,0.7,12,8,1,13.4842189821607,2.12700547676915,1.4479986161973,4.33656463715616,0.185812904115584,0.198250946003691,2.45191829185149,0.419283831209257,0.691492630930216,6.17189052561639
6:134:10,PISY,40,180,0.8,16,14,1,36.5300379291325,3.1936477143725,1.93261130880721,10.0096471693067,0.174298498166297,0.499764647089073,2.76069325896738,0.662430115370694,1.64781612618049,7.54769689277511
6:153:7,PISY,20,70,0.5,16,10,3,13.0817965017331,3.09527663980894,2.53618571120435,5.73289392879723,0.362064804679427,0.107660207849084,2.87333973025539,0.624843890609431,0.14202024144981,6.66454581626582
7:119:11,PISY,40,220,0.8,18,15,1,44.6478241356064,3.90334720645527,2.36208048854215,12.2340132069304,0.174298498166297,0.499764647089073,3.1608659516634,0.720415566531037,1.64781612618049,8.36338516864381
4:33:1,PISY,20,35,0.6,6,5,2,6.53864693737255,1.47864952748588,1.14960244721594,2.55686581937542,0.237709333944262,0.113010301330796,1.08533646811182,0.26049130709267,0.265301381964486,7.34093842125336
1:95:8,PISY,15,70,1,8,6,1,12.527875631804,3.53096257208894,2.3197083278615,4.7242976114711,0.0568405812140588,0.0428064852268533,1.836715554665,0.257290332780468,0.0720398122726177,9.2272954185304
4:256:11,PISY,11,5,0.6,2,2,1,0.836643112481455,0.462139508178508,0.330228408076994,0.375307180452832,0.161580010653429,0.0300113197096931,0.369537980175838,0.0957949026956737,0.0168378464396691,3.02300764031211
