OID_,VALUE,ZONE_CODE,COUNT,AREA,MEDIAN
903,2:202:5,903,42,4200,-1.495424565885308
904,2:202:33,904,379,37900,-13.176862056322811
905,2:202:35,905,42,4200,-4.543080869828297
906,2:202:32,906,149,14900,-4.282538164921608
907,2:202:4,907,356,35600,-5.591481422289942
908,2:202:14,908,326,32600,-4.345569800884236
909,2:202:30,909,73,7300,-9.362096886202952
910,2:202:3,910,118,11800,-9.953855228789855
911,2:202:20,911,96,9600,-4.207973194097395
912,2:202:22,912,761,76100,-3.521063116989788
913,2:202:13,913,212,21200,-3.636080243811219
914,2:202:2,914,83,8300,-6.233574863824405
915,2:202:31,915,125,12500,-5.226953763307039
916,2:202:29,916,243,24300,-4.921582738647144
917,2:202:21,917,313,31300,-2.479142724296675
918,2:202:19,918,45,4500,-7.035614139499195
919,2:202:12,919,384,38400,-4.425187758503602
920,2:202:1,920,76,7600,-3.080196621562914
921,2:136:29,921,927,92700,-4.11391368168239
922,2:136:36,922,276,27600,-6.649904818727645
923,2:136:35,923,368,36800,-11.45280972584657
924,2:136:13,924,155,15500,1.048061199931569
925,2:136:20,925,88,8800,2.379729144752289
926,2:136:40,926,81,8100,-1.902040036062525
927,2:203:9,927,159,15900,-9.621857074978417
928,2:203:8,928,80,8000,-10.248093021895496
929,2:203:7,929,216,21600,-8.041866793968701
930,2:203:32,930,239,23900,-4.969890130910987
931,2:203:19,931,526,52600,-9.808030374851409
932,2:203:18,932,193,19300,-6.838223039928774
933,2:203:23,933,50,5000,-5.980109515380745
934,2:203:5,934,159,15900,-1.538299912794259
935,2:203:16,935,72,7200,-10.347720485323446
936,2:203:17,936,232,23200,-8.871386937895018
937,2:203:29,937,165,16500,-8.329848949182788
938,2:203:22,938,59,5900,-7.348283552865572
939,2:203:25,939,401,40100,-6.476136059726952
940,2:203:28,940,118,11800,-11.493662099050646
941,2:203:27,941,200,20000,-11.178363588755365
942,2:203:15,942,267,26700,-9.861075622256408
943,2:203:24,943,105,10500,-14.25095404496138
944,2:203:34,944,196,19600,-3.34795064454375
945,2:203:21,945,530,53000,-5.65883635470558
946,2:203:14,946,256,25600,-2.484407062955746
947,2:203:6,947,155,15500,-4.347634859390999
948,2:152:7,948,603,60300,-0.526643213565724
949,2:152:12,949,1926,192600,-7.744269335950238
950,2:68:37,950,223,22300,0.949526564059705
951,2:173:10,951,94,9400,-3.432892784293557
952,2:187:6,952,244,24400,-5.453997748217002
953,2:187:5,953,658,65800,-15.509766056332106
954,2:187:4,954,21,2100,-12.362438571546248
955,2:187:27,955,115,11500,-5.488143220728256
956,2:187:3,956,271,27100,-10.077506650383693
957,2:187:16,957,552,55200,-10.239853592726439
958,2:187:22,958,787,78700,-6.620269658297098
959,2:187:23,959,33,3300,-13.470635422017608
960,2:187:15,960,645,64500,-13.805911664815948
961,2:187:13,961,197,19700,-11.158059916607794
962,2:187:31,962,63,6300,-6.213311325975885
963,2:187:30,963,249,24900,-6.557903089379366
964,2:187:29,964,34,3400,-6.224022383119801
965,2:187:24,965,196,19600,-11.17026145303744
966,2:187:20,966,40,4000,-12.602583591149369
967,2:187:9,967,46,4600,-10.881427089102058
968,2:187:2,968,327,32700,-10.667145639796138
969,2:187:1,969,108,10800,-7.60438012893353
970,2:187:12,970,60,6000,-6.227164681606615
971,2:187:8,971,155,15500,-7.665195315531707
972,2:187:11,972,71,7100,-9.231427980488432
973,2:116:1,973,466,46600,-5.051884359067499
974,2:116:2,974,120,12000,-2.252242589237452
975,2:116:20,975,58,5800,-3.214274861024658
976,2:116:22,976,130,13000,0.478103683207055
977,2:116:27,977,60,6000,-6.658390598424686
978,2:116:23,978,63,6300,-5.478142435301755
979,2:116:24,979,1030,103000,-9.940319332465368
980,2:116:14,980,1516,151600,-8.770711061585356
981,2:116:25,981,398,39800,-7.786108489923441
982,2:116:29,982,318,31800,-4.928761470162967
983,2:116:30,983,121,12100,-6.471925138648206
984,2:116:28,984,72,7200,-3.766590229503381
985,2:151:7,985,1327,132700,-5.787701533020268
986,2:169:1,986,147,14700,-8.505889926754287
987,2:169:2,987,548,54800,-8.49578236161749
988,2:169:8,988,239,23900,-2.549468079312324
989,2:169:20,989,613,61300,-6.627826471267531
990,2:169:9,990,165,16500,-2.40040602918377
991,2:169:10,991,597,59700,-2.833738759767932
992,2:169:21,992,119,11900,-1.751613638076886
993,2:169:22,993,558,55800,-10.646002926721899
994,2:169:23,994,221,22100,-14.27617483469378
995,2:169:31,995,96,9600,-12.072911966000454
996,2:169:14,996,3055,305500,-7.076455568984015
997,2:169:33,997,104,10400,-8.540763966376208
998,2:169:15,998,66,6600,-5.657660830985071
999,2:169:6,999,188,18800,-3.744659311989844
1000,2:169:34,1000,232,23200,-3.716181266919763
1001,2:169:7,1001,61,6100,-4.652905195761317
1002,2:169:17,1002,23,2300,-10.39197406532282
1003,2:169:16,1003,109,10900,-13.54121650555557
1004,2:169:18,1004,98,9800,-9.26493682857054
1005,2:185:45,1005,137,13700,-1.368367276823935
