OID_,VALUE,ZONE_CODE,COUNT,AREA,MEDIAN
2366,4:124:11,2366,141,14100,-10.271043004116393
2367,4:124:10,2367,306,30600,-10.782011430813174
2368,4:124:9,2368,83,8300,-10.528216551835863
2369,4:124:8,2369,387,38700,-10.344269149173137
2370,4:124:7,2370,360,36000,-10.430975601391898
2371,4:114:1,2371,423,42300,-10.592431255180102
2372,4:114:2,2372,326,32600,-10.866034266134275
2373,4:114:4,2373,189,18900,-10.87862989228255
2374,4:114:5,2374,247,24700,-10.415807619379878
2375,4:114:9,2375,560,56000,-10.241979171898446
2376,4:114:10,2376,550,55000,-9.59714353491238
2377,4:114:11,2377,426,42600,-10.163447639958687
2378,4:114:3,2378,743,74300,-10.27039644382836
2379,4:114:7,2379,922,92200,-10.411192602361485
2380,4:114:6,2380,1769,176900,-10.404125437275408
2381,4:114:8,2381,373,37300,-10.647794887908915
2382,4:144:13,2382,17,1700,-10.699322536074007
2383,4:106:7,2383,87,8700,-10.211005727276953
2384,4:163:7,2384,771,77100,-10.540747813401378
2385,4:163:9,2385,120,12000,-10.732533195374206
2386,4:163:5,2386,1291,129100,-10.597019997261576
2387,4:163:6,2387,154,15400,-10.272461797291148
2388,4:163:4,2388,14,1400,-10.414194919082025
2389,4:94:7,2389,662,66200,-10.671243027409641
2390,4:121:18,2390,1257,125700,-10.94376147832739
2391,4:18:2,2391,2151,215100,-10.271488033955023
2392,4:110:17,2392,1650,165000,-10.744416767611831
2393,4:130:11,2393,1352,135200,-10.379387901335967
2394,4:24:6,2394,1433,143300,-10.281166446225166
2395,4:143:1,2395,1529,152900,-10.529556633057478
2396,4:113:1,2396,1370,137000,-10.344737769870232
2397,4:113:6,2397,1447,144700,-10.364016338447124
2398,4:125:6,2398,477,47700,-10.279508759804331
2399,4:125:1,2399,2395,239500,-10.270925666621272
2400,4:124:2,2400,3506,350600,-10.504037242538809
2401,4:124:12,2401,610,61000,-10.395989655350267
2402,6:126:3,2402,159,15900,-10.784693817777086
2403,6:126:17,2403,241,24100,-10.424826155972907
2404,6:126:6,2404,410,41000,-10.748025181298146
2405,6:126:13,2405,60,6000,-10.34632621365456
2406,6:126:9,2406,343,34300,-10.504018987062246
2407,6:126:14,2407,589,58900,-10.88161609751477
2408,6:126:19,2408,271,27100,-10.715820175262593
2409,6:106:13,2409,2860,286000,-10.23402960849794
2410,6:106:12,2410,224,22400,-10.329194199611898
2411,6:106:10,2411,209,20900,-10.487682030703741
2412,6:106:9,2412,404,40400,-11.026244059461582
2413,6:106:11,2413,39,3900,-10.030030948392149
2414,6:106:14,2414,39,3900,-9.925535890815683
2415,6:106:17,2415,59,5900,-10.456605779046233
2416,6:106:15,2416,23,2300,-10.927664838297236
2417,6:106:7,2417,984,98400,-11.168171152554294
2418,6:107:7,2418,917,91700,-10.723357130583544
2419,6:107:10,2419,1264,126400,-10.32205433383825
2420,6:107:9,2420,165,16500,-10.760430374584367
2421,6:107:6,2421,378,37800,-10.357193189959464
2422,6:107:8,2422,230,23000,-10.329761832742575
2423,6:107:5,2423,337,33700,-9.83221324650793
2424,6:107:2,2424,317,31700,-10.465570014497942
2425,6:108:24,2425,23,2300,-10.451956321600584
2426,6:108:25,2426,24,2400,-10.325179073036608
2427,6:108:26,2427,136,13600,-10.042623951398166
2428,6:108:27,2428,229,22900,-9.958564603461554
2429,6:108:16,2429,23,2300,-10.369820043760221
2430,6:108:28,2430,156,15600,-10.099493547382822
2431,6:108:17,2431,452,45200,-10.098567983022853
2432,6:108:13,2432,228,22800,-9.591157161690479
2433,6:108:3,2433,292,29200,-10.315393247149103
2434,6:108:29,2434,767,76700,-10.116942266505948
2435,6:108:35,2435,178,17800,-10.262637413541942
2436,6:108:30,2436,282,28200,-10.53943556544925
2437,6:108:31,2437,154,15400,-10.142505097495658
2438,6:108:18,2438,271,27100,-10.060080627478785
2439,6:108:20,2439,199,19900,-10.260569905346578
2440,6:108:22,2440,659,65900,-10.082215643280529
2441,6:108:21,2441,251,25100,-10.149032884115385
2442,6:108:15,2442,1467,146700,-9.758786464974692
2443,6:109:12,2443,113,11300,-10.453864573860699
2444,6:110:3,2444,111,11100,-10.529116315245403
2445,6:110:1,2445,333,33300,-9.556812498662378
2446,6:110:6,2446,38,3800,-9.799943438761169
2447,6:110:2,2447,86,8600,-10.262665248642827
2448,6:111:1,2448,95,9500,-10.345431017315642
2449,6:111:2,2449,98,9800,-10.545630694558241
2450,6:111:4,2450,29,2900,-10.291220439758092
2451,6:111:3,2451,345,34500,-10.275441064009192
2452,6:111:11,2452,663,66300,-10.432572547465453
2453,6:111:10,2453,154,15400,-9.676967913527585
2454,6:94:21,2454,224,22400,-9.585180651326535
2455,6:94:5,2455,92,9200,-9.999793939869289
2456,6:94:23,2456,36,3600,-9.460565620019494
2457,6:94:12,2457,232,23200,-9.21420388662324
2458,6:94:11,2458,280,28000,-9.547451024403639
2459,6:94:29,2459,55,5500,-9.571205471589431
2460,6:94:25,2460,86,8600,-10.371098520463246
2461,6:75:3,2461,238,23800,-10.809923054654167
2462,6:75:4,2462,232,23200,-10.477925204614085
2463,6:75:6,2463,72,7200,-10.808619922036419
2464,6:75:1,2464,70,7000,-10.135893418346281
2465,6:75:5,2465,226,22600,-10.78181794785472
2466,6:75:11,2466,13,1300,-10.862203402307498
2467,6:76:1,2467,299,29900,-10.389886524528592
2468,6:76:3,2468,268,26800,-10.289199575626508
2469,6:76:4,2469,344,34400,-10.516516863947258
2470,6:76:5,2470,293,29300,-10.391134940395743
2471,6:76:2,2471,12,1200,-10.39142661981358
2472,6:76:6,2472,292,29200,-10.385400863663186
2473,6:76:12,2473,168,16800,-10.6979289277554
2474,6:76:11,2474,115,11500,-10.47413717174783
2475,6:56:13,2475,197,19700,-9.956623041583407
2476,6:56:6,2476,77,7700,-10.193058369989942
